Name,Rating,Type,Num_of_Reviews,Highly Rated for,Critically Rated for,Location
Viatris,4.1,Pharma,(3.9k),"Salary, Job Security, Work Life Balance",,Hyderabad +81 other locations
XpressBees,4.1,Logistics,(3.9k),"Work Life Balance, Company Culture, Work Satisfaction",,Pune +482 other locations
JK Cement,4.0,Building Material,(3.9k),Salary,Promotions,New Delhi +336 other locations
PVR INOX,3.9,Media & Entertainment,(3.9k),,Promotions,New Delhi +152 other locations
Altruist Technologies,4.4,BPO,(3.9k),"Job Security, Company Culture, Work Life Balance",,Bengaluru +43 other locations
Birlasoft,3.4,IT Services & Consulting,(3.9k),,"Promotions, Salary, Work Satisfaction",Pune +50 other locations
PhonePe,4.0,FinTech,(3.8k),"Salary, Company Culture, Work Life Balance",,Bengaluru +417 other locations
Synechron,3.4,IT Services & Consulting,(3.8k),,"Job Security, Promotions, Work Satisfaction",Pune +33 other locations
Blinkit,3.8,Internet,(3.8k),Salary,Promotions,Gurugram +169 other locations
Reliance Communications,3.9,Telecom,(3.8k),"Skill Development, Company Culture, Work Life Balance",Promotions,Mumbai +468 other locations
Glenmark Pharmaceuticals,3.8,Pharma,(3.8k),,Promotions,Mumbai +195 other locations
Kotak Mahindra Life Insurance Company,3.5,Insurance,(3.8k),,"Promotions, Work Satisfaction, Company Culture",Mumbai +261 other locations
Bharat Electronics,4.2,Electronics Manufacturing,(3.8k),"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Bengaluru +91 other locations
Dabur,3.8,FMCG,(3.8k),Salary,Promotions,New Delhi +322 other locations
Sodexo,4.0,Hospitality,(3.8k),"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Mumbai +162 other locations
Cogent E Services,3.1,BPO,(3.7k),,"Salary, Company Culture, Work Satisfaction",Noida +58 other locations
UNO Minda,3.9,Auto Components,(3.7k),"Job Security, Company Culture, Skill Development",Promotions,Pune +112 other locations
ArcelorMittal Nippon Steel India,4.1,Iron & Steel,(3.7k),"Work Life Balance, Job Security, Company Culture",,Surat +90 other locations
Godrej & Boyce Manufacturing,3.8,Consumer Electronics & Appliances,(3.7k),Job Security,Promotions,Mumbai +176 other locations
Ipca Laboratories,3.8,Pharma,(3.7k),"Job Security, Work Life Balance","Promotions, Salary",Mumbai +165 other locations
Abbott,4.1,Pharma,(3.7k),"Work Life Balance, Salary, Company Culture",Promotions,Mumbai +215 other locations
Aarti Industries,4.1,Agro Chemicals,(3.7k),"Job Security, Work Life Balance, Company Culture",,Bharuch +61 other locations
Samvardhana Motherson Group,3.7,Auto Components,(3.7k),Job Security,"Promotions, Company Culture, Work Satisfaction",Noida +95 other locations
Reliance Projects & Property Management Services,4.0,Other,(3.7k),"Job Security, Skill Development, Company Culture",Promotions,Kolkata +627 other locations
Reliance Digital,4.1,Retail,(3.6k),"Skill Development, Job Security, Company Culture",,Mumbai +387 other locations
IGT Solutions,3.2,BPO,(3.6k),,"Promotions, Salary, Work Satisfaction",New Delhi +48 other locations
MRF Tyres,3.6,Auto Components,(3.6k),,"Company Culture, Work Satisfaction, Work Life Balance",Chennai +196 other locations
Indian Oil Corporation,4.4,Oil & Gas,(3.6k),"Company Culture, Work Life Balance, Job Security",,New Delhi +313 other locations
"NTT DATA, Inc.",3.9,IT Services & Consulting,(3.6k),"Work Life Balance, Job Security, Company Culture",Promotions,Bengaluru +38 other locations
Alkem Laboratories,3.9,Pharma,(3.6k),Salary,Promotions,Mumbai +202 other locations
Johnson Controls,3.5,Industrial Automation,(3.6k),,"Promotions, Work Satisfaction, Company Culture",Pune +58 other locations
Honda Motorcycle & Scooter,4.1,Automobile,(3.6k),"Job Security, Company Culture, Work Life Balance",Promotions,Gurugram +303 other locations
[24]7.ai,3.4,Hospitality,(3.6k),,"Promotions, Salary, Work Satisfaction",Bengaluru +36 other locations
